bng_x,bng_y,class,conf,votes,status,nearest_dist_m
220359.50568646565,583545.1043249805,smallcairn,0.3571968153119087,8,novel,8202.8
221414.67575778157,583815.0661662675,roundhouse,0.2465027059827532,7,novel,9310.2
221693.11843729706,583390.9508624196,shieling,0.24418248236179352,6,novel,9021.3
222796.32842843834,583091.6666438607,roundhouse,0.34043753147125244,7,novel,9155.3
221724.67703680528,582838.8125845592,smallcairn,0.3751928550856454,7,novel,7494.5
222888.6187837491,582931.9175456238,roundhouse,0.5945412218570709,8,novel,9035.2
222872.9646445377,582783.5137704565,roundhouse,0.5419636238366365,8,novel,8898.0
223145.78734484166,582915.3010476275,shieling,0.4284174314567021,7,novel,8160.8
221892.6589036107,582449.6359691818,roundhouse,0.2503518730401993,5,novel,8191.3
222069.1706235263,582503.395395251,roundhouse,0.261621152361234,6,novel,8311.4
222184.92153482945,582387.8708739044,roundhouse,0.3451201489993504,7,novel,8254.7
223148.21227790427,582560.4648580677,roundhouse,0.3518744558095932,5,novel,8605.1
224636.45162094932,582412.545332634,smallcairn,0.2381946529660906,7,novel,7383.4
222542.72422292654,581905.4316141768,shieling,0.47523502366883413,7,novel,7339.1
222591.26924050067,582161.0411942324,shieling,0.26318746379443575,7,novel,7568.1
223132.54091147523,582175.5224829325,shieling,0.24148200452327728,5,novel,7441.2
223557.23757232432,581832.3605022111,roundhouse,0.412810959986278,7,novel,7794.5
224335.4446127472,582149.4107473122,smallcairn,0.2587968536785671,7,novel,7522.6
224497.62963525724,581930.2739795131,smallcairn,0.2712022691965103,5,novel,7369.0
224975.32805134216,582036.543114558,smallcairn,0.4722740985453129,8,novel,6942.0
225369.43204231848,582309.4264272323,shieling,0.2856412548571825,8,novel,7403.2
223352.3926183421,581472.7105932013,roundhouse,0.25049074590206144,5,novel,7504.1
223427.96892567983,581740.6571127066,roundhouse,0.3395721882581711,5,novel,7740.0
223402.48692583304,581620.9490252216,roundhouse,0.35747843484083813,6,novel,7631.9
223501.00894102282,581524.208605363,shieling,0.1738336503505707,5,novel,6726.8
223867.02514763686,581588.7667425089,shieling,0.2520332315138408,7,novel,6728.9
225101.27692617167,581602.9140185211,shieling,0.38272397007261005,7,novel,6682.0
225167.57122695437,581462.7909504195,shieling,0.32731131712595624,6,novel,6545.3
226164.52090153634,581521.6000410366,roundhouse,0.3686375394463539,8,novel,7256.0
222420.71267522857,581386.6968939278,roundhouse,0.3234091907739639,5,novel,7476.4
222474.32191495402,581264.4993819551,shieling,0.3180046443428312,7,novel,6755.9
224067.00513306807,581481.5624920996,shieling,0.2016004204750061,5,novel,6597.1
224874.1647328983,581205.1690545438,shieling,0.38491395328726086,7,novel,6278.4
225465.26822899192,581186.6430232519,roundhouse,0.45804775692522526,8,novel,6894.0
226252.65437042885,581167.241173766,shieling,0.4504553437232971,5,novel,6403.7
226252.01694811726,581169.1101189504,roundhouse,0.2662976618324007,7,novel,6913.4
223794.7140808749,580997.7937752805,shieling,0.47276985459029675,8,novel,6155.9
224020.37180259323,580796.4951465847,roundhouse,0.2520158017675082,6,novel,6677.5
224723.78558825143,580704.296811006,smallcairn,0.3637195061892271,8,novel,6463.8
224598.46638424852,580674.8631063439,smallcairn,0.28469457796641756,7,novel,6369.2
224777.9587179928,580675.1327884019,smallcairn,0.3947476875036955,8,novel,6470.6
225108.64163037844,580959.7933852156,shieling,0.5221104579312461,7,novel,6039.9
224963.0324261119,580762.3819684129,roundhouse,0.3921191096305847,7,novel,6494.6
226064.12949672053,580913.9962021273,smallcairn,0.23273098965485892,6,novel,5612.8
226047.9671011828,580889.2029087329,shieling,0.3022634983062744,6,novel,6088.4
226785.9237928144,580791.2030672549,smallcairn,0.34667547792196274,6,novel,4880.7
224783.98633681398,580446.3816736575,roundhouse,0.2129168391227722,5,novel,6199.0
225212.8604835001,580537.8799863906,smallcairn,0.35743676374355954,6,novel,6406.0
225926.71559574414,580447.8653064435,roundhouse,0.25311568677425383,5,novel,6167.3
226004.18656132827,580618.3929285124,roundhouse,0.4820202048867941,8,novel,6342.8
226837.58863051177,580423.0324625289,shieling,0.25993022620677947,5,novel,5856.4
227131.358620386,580462.2520523107,roundhouse,0.48402408361434934,5,novel,6372.4
225041.79157253556,580050.7205277141,roundhouse,0.25124917924404144,5,novel,5778.8
226713.42172747848,580196.9729804102,roundhouse,0.4051422718912363,8,novel,6020.4
221302.5400597354,589991.3651021709,shieling,0.29489973485469817,5,novel,15468.4
220473.84576646393,587264.9178477798,smallcairn,0.22066886126995086,5,novel,11906.8
220724.83793515517,587490.2453706181,roundhouse,0.4060468852519989,5,novel,12738.7
220289.08481855743,586585.5542590993,shieling,0.37132705450057985,5,novel,12367.9
220994.48982033026,585327.4670730275,roundhouse,0.3309524556001027,6,novel,10665.4
221601.46094190812,585328.1695220046,shieling,0.2192227303981781,5,novel,10886.3
221673.9050389537,585281.5199275502,shieling,0.3338641107082367,5,novel,10820.5
220192.21814214418,585339.6039901462,roundhouse,0.25635357201099396,5,novel,10531.9
220293.95638273712,584574.8584538514,smallcairn,0.3140382349491119,5,novel,9234.4
220328.85439217289,584593.8884796195,smallcairn,0.2984044522047043,5,novel,9250.5
220384.87434373258,584615.9955114466,smallcairn,0.2442345768213272,5,novel,9268.3
221993.0610353831,584516.4976787567,shieling,0.2809206694364548,6,novel,9996.1
