CANMOREID,NMRSNAME,SITETYPE,COUNTY,GRIDREF,XCOORD,YCOORD,URL,det_class
22933,"KILMORE, SERPENT MOUND",BURIAL CAIRN (BRONZE AGE),ARGYLL,NM 88011 26886,188011.0,726886.0,https://canmore.org.uk/site/22933/,cairn
22934,"KILMORE, DALINEUN","CHAMBERED CAIRN (NEOLITHIC), CIST(S) (BRONZE AGE), CINERARY URN(S) (BRONZE AGE)",ARGYLL,NM 87994 26704,187994.0,726704.0,https://canmore.org.uk/site/22934/,cairn
22935,KILMORE,BURIAL CAIRN (BRONZE AGE),ARGYLL,NM 88091 26316,188091.0,726316.0,https://canmore.org.uk/site/22935/,cairn
22937,"KERRERA, CARN BREUGACH",BURIAL CAIRN (BRONZE AGE),ARGYLL,NM 81505 27815,181505.0,727815.0,https://canmore.org.uk/site/22937/,cairn
22454,RUBHA DEARG,"CAIRN (PERIOD UNASSIGNED), JETTY (PERIOD UNASSIGNED)",ARGYLL,NM 66275 44448,166275.0,744448.0,https://canmore.org.uk/site/22454/,cairn
22455,RUBHA DEARG,CAIRN (PERIOD UNASSIGNED),ARGYLL,NM 66420 44478,166420.0,744478.0,https://canmore.org.uk/site/22455/,cairn
22456,RUBHA DEARG,CAIRN (PERIOD UNASSIGNED),ARGYLL,NM 66170 44467,166170.0,744467.0,https://canmore.org.uk/site/22456/,cairn
22409,"ACHADH LUIRGINN, MULL",SHIELING HUT(S) (POST MEDIEVAL),ARGYLL,NM 6425 3670,164250.0,736700.0,https://canmore.org.uk/site/22409/,shieling
22465,"MULL, CORRYNACHENCHY",SHIELING HUT(S) (POST MEDIEVAL)(POSSIBLE),ARGYLL,NM 6390 4085,163900.0,740850.0,https://canmore.org.uk/site/22465/,shieling
22468,GLEN CRIPESDALE,CAIRN (PERIOD UNASSIGNED),ARGYLL,NM 680 592,168000.0,759200.0,https://canmore.org.uk/site/22468/,cairn
22471,RAHOY,CHAMBERED CAIRN (NEOLITHIC),ARGYLL,NM 6446 5592,164460.0,755920.0,https://canmore.org.uk/site/22471/,cairn
22479,ACHARN,CAIRN (PERIOD UNASSIGNED),ARGYLL,NM 6980 5080,169800.0,750800.0,https://canmore.org.uk/site/22479/,cairn
22480,ACHARN,CAIRN(S) (PERIOD UNASSIGNED),ARGYLL,NM 697 505,169700.0,750500.0,https://canmore.org.uk/site/22480/,cairn
22487,COIRE BHORRADAIL,SHIELING HUT(S) (POST MEDIEVAL),ARGYLL,NM 6280 5015,162800.0,750150.0,https://canmore.org.uk/site/22487/,shieling
22488,BEINN BHUIDHE,SHIELING HUT(S) (POST MEDIEVAL),ARGYLL,NM 601 521,160100.0,752100.0,https://canmore.org.uk/site/22488/,shieling
22489,COIRE BUIDHE,SHIELING HUT(S) (POST MEDIEVAL),ARGYLL,NM 601 549,160100.0,754900.0,https://canmore.org.uk/site/22489/,shieling
22490,ALLT NAM MUCRAIDH,SHIELING HUT(S) (POST MEDIEVAL),ARGYLL,NM 6419 5100,164190.0,751000.0,https://canmore.org.uk/site/22490/,shieling
23063,OBAN,"CAIRN (BRONZE AGE), TREE TRUNK COFFIN (BRONZE AGE)",ARGYLL,NM 860 307,186000.0,730700.0,https://canmore.org.uk/site/23063/,cairn
22294,"CRANNICH, MULL",SHIELING HUT(S) (POST MEDIEVAL),ARGYLL,NM 5006 4301,150060.0,743010.0,https://canmore.org.uk/site/22294/,shieling
23076,"KERRERA, SLATRACH BAY",CAIRN (LATER PREHISTORIC),ARGYLL,NM 82056 29988,182056.0,729988.0,https://canmore.org.uk/site/23076/,cairn
23086,"LISMORE, CNOC AINGIL",CAIRN (LATER PREHISTORIC),ARGYLL,NM 8638 4397,186380.0,743970.0,https://canmore.org.uk/site/23086/,cairn
23087,"LISMORE, LOCH BAILE A'GHOBHAINN",CAIRN (PERIOD UNASSIGNED)(POSSIBLE),ARGYLL,NM 8525 4183,185250.0,741830.0,https://canmore.org.uk/site/23087/,cairn
23101,"BALURE, CARN BAN",BURIAL CAIRN (BRONZE AGE),ARGYLL,NM 89361 41398,189361.0,741398.0,https://canmore.org.uk/site/23101/,cairn
23102,BALURE,BURIAL CAIRN (BRONZE AGE),ARGYLL,NM 89750 41400,189750.0,741400.0,https://canmore.org.uk/site/23102/,cairn
22335,"DUN BAN, RHEMORE",CAIRN (PERIOD UNASSIGNED),ARGYLL,NM 569 505,156900.0,750500.0,https://canmore.org.uk/site/22335/,cairn
22347,"ARDNAMURCHAN, LOCH MUDLE","BLOOMERY (PERIOD UNASSIGNED), SHIELING HUT(S) (POST MEDIEVAL)",ARGYLL,NM 548 662,154800.0,766200.0,https://canmore.org.uk/site/22347/,shieling
22349,CAMAS NAN GEALL,CHAMBERED CAIRN (NEOLITHIC),ARGYLL,NM 5608 6194,156080.0,761940.0,https://canmore.org.uk/site/22349/,cairn
